country,population,internet_penetration_fraction,timezone
IND,1463865525,0.56,2.00
CHN,1416096094,0.78,4.50
USA,347275807,0.93,-7.50
IDN,285721236,0.69,3.50
PAK,255219554,0.27,1.50
NGA,237527782,0.39,-2.50
BRA,212812405,0.84,-6.50
BGD,175686899,0.45,2.50
RUS,143997393,0.92,-0.50
ETH,135472051,0.17,-0.50
MEX,131946900,0.81,-9.50
JPN,123103479,0.93,5.50
EGY,118365995,0.73,-0.50
PHL,116786962,0.84,4.50
COD,112832473,0.30,-2.50
VNM,101598527,0.79,3.50
IRN,92417681,0.80,0.00
TUR,87685426,0.87,-0.50
DEU,84075075,0.94,-1.50
THA,71619863,0.90,3.50
TZA,70545865,0.29,-0.50
GBR,69551332,0.96,-2.50
FRA,66650804,0.87,-1.50
ZAF,64747319,0.76,-1.50
ITA,59146260,0.87,-1.50
KEN,57532493,0.35,-0.50
MMR,54850648,0.58,3.00
COL,53425635,0.77,-8.50
KOR,51667029,0.98,5.50
SDN,51662147,0.26,-1.50
UGA,51384894,0.15,-0.50
ESP,47889958,0.95,-1.50
DZA,47435312,0.77,-2.50
IRQ,47020774,0.82,-0.50
ARG,45851378,0.89,-6.50
AFG,43844111,0.18,1.00
YEM,41773878,0.27,-0.50
CAN,40126723,0.95,-7.50
AGO,39040039,0.45,-2.50
UKR,38980376,0.83,-0.50
MAR,38430770,0.91,-2.50
POL,38140910,0.87,-1.50
UZB,37053428,0.89,1.50
MYS,35977838,0.98,4.50
MOZ,35631653,0.20,-1.50
GHA,35064272,0.70,-3.50
PER,34576665,0.80,-8.50
SAU,34566328,1.00,-0.50
MDG,32740678,0.20,-0.50
CIV,32711547,0.44,-3.50
CMR,29879337,0.42,-2.50
NPL,29618118,0.56,2.20
VEN,28516896,0.62,-7.50
NER,27917831,0.23,-2.50
AUS,26974026,0.97,6.50
PRK,26571036,0.00,5.50
SYR,25620427,0.35,-0.50
MLI,25198821,0.35,-3.50
BFA,24074580,0.17,-3.50
LKA,23229470,0.51,2.00
MWI,22216120,0.18,-1.50
ZMB,21913874,0.33,-1.50
TCD,21003705,0.13,-2.50
KAZ,20843754,0.93,1.50
CHL,19859921,0.94,-7.50
SOM,19654739,0.28,-0.50
SEN,18931966,0.61,-3.50
ROU,18908650,0.89,-0.50
GTM,18687881,0.56,-9.50
NLD,18346819,0.97,-1.50
ECU,18289896,0.77,-8.50
KHM,17847982,0.61,3.50
ZWE,16950795,0.38,-1.50
GIN,15099727,0.27,-3.50
BEN,14814460,0.32,-2.50
RWA,14569341,0.34,-1.50
BDI,14390003,0.11,-1.50
BOL,12581843,0.70,-7.50
TUN,12348573,0.72,-2.50
SSD,12188788,0.09,-1.50
HTI,11906095,0.39,-7.50
BEL,11758603,0.95,-1.50
JOR,11520684,0.93,-0.50
DOM,11520487,0.85,-7.50
ARE,11346000,1.00,0.50
HND,11005850,0.58,-9.50
CUB,10937203,0.71,-7.50
TJK,10786734,0.57,1.50
PNG,10762817,0.24,6.50
SWE,10656633,0.96,-1.50
CZE,10609239,0.86,-1.50
PRT,10411834,0.86,-2.50
AZE,10397713,0.89,0.50
GRC,9938844,0.85,-0.50
TGO,9721608,0.37,-3.50
HUN,9632287,0.92,-1.50
ISR,9517181,0.92,-0.50
AUT,9113574,0.95,-1.50
BLR,8997603,0.92,-0.50
CHE,8967407,0.97,-1.50
SLE,8819794,0.21,-3.50
LAO,7873046,0.64,3.50
TKM,7618847,0.21,1.50
LBY,7458555,0.89,-1.50
KGZ,7295034,0.89,2.50
PRY,7013078,0.78,-6.50
NIC,7007502,0.58,-9.50
BGR,6714560,0.80,-0.50
SRB,6689039,0.85,-1.50
COG,6484437,0.38,-2.50
SLV,6365503,0.68,-9.50
DNK,6002507,1.00,-1.50
SGP,5870750,0.97,4.50
LBN,5849421,0.83,-0.50
LBR,5731206,0.23,-3.50
FIN,5623329,0.94,-0.50
NOR,5623071,0.99,-1.50
CAF,5513282,0.08,-2.50
OMN,5494691,0.95,0.50
SVK,5474881,0.90,-1.50
MRT,5315065,0.37,-3.50
IRL,5308039,0.97,-2.50
NZL,5251899,0.96,8.50
CRI,5152950,0.85,-9.50
KWT,5026078,1.00,-0.50
PAN,4571189,0.78,-8.50
HRV,3848160,0.83,-1.50
GEO,3806671,0.82,0.50
ERI,3607003,0.20,-0.50
MNG,3517100,0.83,4.50
URY,3384688,0.90,-6.50
PRI,3235289,0.87,-7.50
BIH,3140095,0.83,-1.50
QAT,3115889,1.00,-0.50
NAM,3092816,0.64,-1.50
MDA,2996106,0.80,-0.50
ARM,2952365,0.80,0.50
JAM,2837077,0.83,-8.50
LTU,2830144,0.89,-0.50
GMB,2822093,0.46,-3.50
ALB,2771508,0.83,-1.50
GAB,2593130,0.72,-2.50
BWA,2562122,0.81,-1.50
LSO,2363325,0.48,-1.50
GNB,2249515,0.33,-3.50
SVN,2117072,0.90,-1.50
GNQ,1938431,0.60,-2.50
LVA,1853559,0.92,-0.50
MKD,1813791,0.87,-1.50
BHR,1643332,1.00,-0.50
TTO,1511155,0.85,-7.50
TLS,1418517,0.35,5.50
CYP,1370754,0.91,-0.50
CYP,1370754,0.91,-0.50
EST,1344232,0.93,-0.50
MUS,1268280,0.80,0.50
SWZ,1256174,0.58,-1.50
DJI,1184076,0.65,-0.50
FJI,933154,0.79,8.50
COM,882847,0.36,-0.50
SLB,838645,0.42,7.50
SLB,838645,0.42,7.50
GUY,835986,0.82,-7.50
BTN,796682,0.88,2.50
LUX,680453,0.99,-1.50
SUR,639850,0.78,-6.50
MNE,632729,0.90,-1.50
MLT,545405,0.92,-1.50
MDV,529676,0.85,1.50
CPV,527326,0.73,-4.50
BRN,466330,0.99,4.50
BLZ,422924,0.72,-9.50
BHS,403033,0.95,-7.50
ISL,398266,1.00,-3.50
VUT,335169,0.46,7.50
BRB,282623,0.80,-7.50
STP,240254,0.62,-3.50
WSM,219306,0.58,9.50
LCA,180149,0.70,-7.50
KIR,136488,0.88,8.50
SYC,132779,0.87,0.50
GRD,117303,0.74,-7.50
FSM,113683,0.39,7.50
ABW,108147,0.97,-7.50
TON,103742,0.58,9.50
VCT,99924,0.76,-7.50
ATG,94209,0.78,-7.50
AND,82904,0.95,-1.50
CYM,75844,0.81,-8.50
DMA,65871,0.84,-7.50
BMU,64555,0.98,-6.50
GRL,55745,0.69,-4.50
KNA,46922,0.76,-7.50
TCA,46855,0.00,-7.50
LIE,40128,0.99,-1.50
GIB,40126,0.94,-1.50
VGB,39732,0.78,-7.50
MCO,38341,0.99,-1.50
MHL,36282,0.66,8.50
SMR,33572,0.87,-1.50
PLW,17663,0.27,5.50
NRU,12025,0.82,8.50
TUV,9492,0.74,8.50
